source,tag,hidden,D_eff,seed,step,exact_pct,token_pct,lm_loss
budget,h128_d36_s4,128,36,4,4000,2.3438,63.5513,0.8670266270637512
budget,h128_d36_s4,128,36,4,6000,2.5391,65.326,0.8002169728279114
budget,h128_d36_s4,128,36,4,8000,2.7344,66.985,0.7601155042648315
budget,h128_d36_s4,128,36,4,10000,5.0781,68.0821,0.7455395460128784
budget,h128_d36_s4,128,36,4,12000,7.8125,66.8355,0.7870504856109619
budget,h128_d36_s4,128,36,4,14000,2.9297,67.3611,0.7455243468284607
budget,h128_d36_s4,128,36,4,16000,3.5156,67.7421,0.7412979602813721
budget,h128_d36_s4,128,36,4,18000,5.2734,68.058,0.7421972751617432
budget,h128_d36_s4,128,36,4,20000,5.2734,67.8602,0.7416329383850098
budget,h128_d36_s4,128,36,4,22000,5.6641,67.3466,0.7522006630897522
budget,h128_d36_s4,128,36,4,24000,4.2969,67.0235,0.7838590741157532
budget,h128_d36_s4,128,36,4,26000,2.5391,67.1996,0.8027193546295166
budget,h128_d36_s4,128,36,4,28000,3.5156,66.4183,0.7821550965309143
budget,h128_d36_s4,128,36,4,30000,5.0781,66.4979,0.7751449346542358
budget,h128_d9,128,9,0,2000,0.0,58.9193,1.000601053237915
budget,h128_d9,128,9,0,4000,1.7578,63.7249,0.8489264249801636
budget,h128_d9,128,9,0,6000,4.8828,65.9746,0.8342912793159485
budget,h128_d9,128,9,0,8000,3.7109,66.8981,0.7607394456863403
budget,h128_d9,128,9,0,10000,5.6641,66.6016,0.787395179271698
budget,h128_d9,128,9,0,12000,7.2266,67.988,0.7475596070289612
budget,h128_d9,128,9,0,14000,4.4922,67.6649,0.7450988292694092
budget,h128_d9,128,9,0,16000,10.3516,68.8947,0.7273312211036682
budget,h128_d9,128,9,0,18000,6.6406,68.0266,0.7332301139831543
budget,h128_d9,128,9,0,20000,12.1094,68.4293,0.7468488812446594
budget,h128_d9,128,9,0,22000,8.2031,68.9477,0.7179242968559265
budget,h128_d9,128,9,0,24000,5.0781,67.7686,0.7458791732788086
budget,h128_d9,128,9,0,26000,7.8125,68.5667,0.7280585765838623
budget,h128_d9,128,9,0,28000,12.1094,69.1213,0.7519588470458984
budget,h128_d9,128,9,0,30000,5.4688,67.8192,0.7417809367179871
budget,h128_d9_s0,128,9,0,2000,0.0,58.9193,1.000601053237915
budget,h128_d9_s0,128,9,0,4000,1.7578,63.7249,0.8489264249801636
budget,h128_d9_s0,128,9,0,6000,4.8828,65.9746,0.8342912793159485
budget,h128_d9_s0,128,9,0,8000,3.7109,66.8981,0.7607394456863403
budget,h128_d9_s0,128,9,0,10000,5.6641,66.6016,0.787395179271698
budget,h128_d9_s0,128,9,0,12000,7.2266,67.988,0.7475596070289612
